LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B12B0135	239950	567025	Rijksdriehoeksmeting	12B		1.8		12BA3135	22	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24DNP (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	CO3-- (mg/l)	Ca (mg/l)	Ca (ug/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	EC(5)_veld (mS/m)	EC-lab20C (uS/cm)	EC25C (mS/m)	ECVELD20C (uS/cm)	EOX (umol/m3)	Etridiazool (ug/l)	Fe (g/m3)	Fe (ug/l)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HCO3-lab (mg/l)	HCO3_lab (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (mg/l)	K (ug/l)	K+ (g/m3)	KMnO4_O (g/m3)	MCPA (ug/l)	MCPP (ug/l)	Mg (mg/l)	Mg (ug/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (ug/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mgN/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na (ug/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	P-totaal (mgP/l)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC_C (g/m3)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	opgelost fosfaat als P (mgP/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	som C+T dichlooretheen (ug/l)	som chlooralifaten (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B12B0135	18-05-1993	C1993-05-1206		nee	330.0	530.0	18-05-1993									1092.69		<0.15					36.118													56.088			165.034										7.782		102.5						27.02			4.51											37.223						22.073	2.849						15.424			52.762			<0.062									142.62		291.775	9.6													98.085																																																		
B12B0135	16-06-1992	C1992-06-1211		nee	1780.0	1980.0	16-06-1992									18.77		0.22					83.84													20.35	<0.02		22.44			<0.52		<0.64					1.44				24.97				0.46		6.22		69.56										1.26						4.32	0.11			0.02			0.1			20.65	2.76		<0.06			0.04						21.75		84.63														<6.54																																																		
B12B0135	16-06-1992	C1992-06-1210		nee	330.0	530.0	16-06-1992									756.76		<0.07					33.76													49.57	1.07		175.51			0.68		2.67					8.18				99.44				22.52		4.71		7.93										32.27						19.91	2.88			1.85			5.2			57.87	63.97		<0.06			0.66						147.96		264.46														74.78																																																		
B12B0135	10-04-1991	C1991-04-1073		nee	1780.0	1980.0	10-04-1991									110.19		0.31					101.8													20.88	<0.11		23.38			<0.52		<0.63					1.35				26.89				0.71		6.31		70.76										1.52						5.88	0.12			0.02			<0.03			21.68	3.76		<0.06			<2.07						23.45		112.18														<6.54																																																		
B12B0135	10-04-1991	C1991-04-1072		nee	330.0	530.0	10-04-1991									571.44		0.13					43.17													51.6	0.91		184.57			<0.52		0.89					7.93				100				29.92		5.13		17.38										26.06						20.04	2.76			1.54			3.66			65.35	37.92		<0.06			<2.07						143.77		270.4														68.95																																																		
B12B0135	02-04-1990	C1990-04-1002		nee	1780.0	1980.0	02-04-1990									24.51		0.3					85.48													15.21	<0.11		24.99			0.73		0.81					1.64				23.62				0.51		6.13		65.88										1.49						6.34	0.09			<0.01			<0.28			20.78	4.58		<0.06			<2.07						19.15		98.27														<6.54																																																		
B12B0135	02-04-1990	C1990-04-1001		nee	330.0	530.0	02-04-1990									629.12		<0.07					34.45													41.81	0.98		177.32			1.46		2.6					7.1				94.92				17.53		5.02		17.69										13.33						16.36	2.48			0.84			3.11			87.98	60.4		<0.06			<2.07						131.87		213.42														79.06																																																		
B12B0135	24-04-1989	C1989-04-1251		nee	1780.0	1980.0	24-04-1989																													12			24.6														21.02				0.62		6.06		57										1.46						5.2				<0.01			<0.28			19.34			<0.06									14.5																																																																		
B12B0135	24-04-1989	C1989-04-1250		nee	330.0	530.0	24-04-1989																													54.8			188														96.72				14.2		5.11		18										23.17						20.27				1.04			7.35			61.45			<0.06									113																																																																		
B12B0135	06-04-1988	C1988-04-1005		nee	330.0	530.0	06-04-1988																													61.5			186														97.06						4.86		6.1										25.37						22.38				0.85			8.76			53.48			<0.06									121																																																																		
B12B0135	06-04-1988	C1988-04-1006		nee	1780.0	1980.0	06-04-1988																													14.3			27.4														22.15						6.02		60										1.4						5.35				0.03			<0.28			19.66			<0.06									12.9																																																																		
B12B0135	27-04-1987	C1987-04-1157		nee	330.0	530.0	27-04-1987																													70.9			164										5.65				102.26						4.58		3.05										24.7						24.7				0.88			21.1			54.1			<0.06									122																																																																		
B12B0135	27-04-1987	C1987-04-1158		nee	1780.0	1980.0	27-04-1987																													14.8			27.7										0.84				21.58						6.19		60.4										1.35						4.73				<0.01			<0.3			19.4			<0.06									8.75																																																																		
B12B0135	12-05-1986	C1986-05-1022		nee	330.0	530.0	12-05-1986																													48.8			170										3.56				84.75						3.96		<3										11.1						19.5				0.73			12.9			53.1			<0.06									62.2																																																																		
B12B0135	12-05-1986	C1986-05-1023		nee	1780.0	1980.0	12-05-1986																													11.1			26.9										0.97				18.76						6.35		45.1										1.35						3.72				0.05			<0.3			17.7			<0.06									9.72																																																																		
B12B0135	02-05-1985	C1985-05-1010		nee	1780.0	1980.0	02-05-1985																													10.7			26.8										0.6				18.76						5.87		60.4										1.51						3.75				<0.01			<0.3			17.7			<0.06									5.67																																																																		
B12B0135	02-05-1985	C1985-05-1009		nee	330.0	530.0	02-05-1985																													39.2			146										2.3				65.99						5.16		18.3										4.62						13.5				0.67			3.64			43.1			0.06									50.9																																																																		
B12B0135	29-02-1984	C1984-02-1128		nee	1080.0	1280.0	29-02-1984																													18			14														19.21		25				7.17		87										1.2	1.3					4.6				0.53			<0.1			10			0.19		<0.01							3	5.6							<0.1						<6																																																				
B12B0135	29-02-1984	C1984-02-1129		nee	1780.0	1980.0	29-02-1984																													9			29														19.21		15				6.04		51										1.2	0.3					3.4				0.04			<0.1			20			0.05		<0.01							5	3.2							<0.1				<5		<6																																																				
B12B0135	29-02-1984	C1984-02-1127		nee	330.0	530.0	29-02-1984																													37			130														59.89		20				6.59		33										2.2	1.1					8.2				0.73			0.2			41			0.09		<0.01							51	7.2							<0.1				63		<6																																																				
