Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-03-2012,tot:,13-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E2225,004,,244995,547542,1823,23-01-2012,23-01-2012,13-06-2019,1871,48,-1929,-2129


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E2225,004,15-07-2012,306,258,1565,,,,,,
B17E2225,004,16-07-2012,307,259,1564,,,,,,
B17E2225,004,17-07-2012,306,258,1565,,,,,,
B17E2225,004,18-07-2012,304,256,1567,,,,,,
B17E2225,004,19-07-2012,302,254,1569,,,,,,
B17E2225,004,20-07-2012,301,253,1570,,,,,,
B17E2225,004,21-07-2012,302,254,1569,,,,,,
B17E2225,004,22-07-2012,302,254,1569,,,,,,
B17E2225,004,23-07-2012,302,254,1569,,,,,,
B17E2225,004,24-07-2012,303,255,1568,,,,,,
B17E2225,004,25-07-2012,303,255,1568,,,,,,
B17E2225,004,26-07-2012,305,257,1566,,,,,,
B17E2225,004,27-07-2012,305,257,1566,,,,,,
B17E2225,004,28-07-2012,305,257,1566,,,,,,
B17E2225,004,29-07-2012,306,258,1565,,,,,,
B17E2225,004,30-07-2012,307,259,1564,,,,,,
B17E2225,004,31-07-2012,307,259,1564,,,,,,
B17E2225,004,01-08-2012,308,260,1563,,,,,,
B17E2225,004,02-08-2012,308,260,1563,,,,,,
B17E2225,004,03-08-2012,308,260,1563,,,,,,
B17E2225,004,04-08-2012,309,261,1562,,,,,,
B17E2225,004,05-08-2012,309,261,1562,,,,,,
B17E2225,004,06-08-2012,309,261,1562,,,,,,
B17E2225,004,07-08-2012,310,262,1561,,,,,,
B17E2225,004,08-08-2012,307,259,1564,,,,,,
B17E2225,004,09-08-2012,303,255,1568,,,,,,
B17E2225,004,10-08-2012,302,254,1569,,,,,,
B17E2225,004,11-08-2012,301,253,1570,,,,,,
B17E2225,004,12-08-2012,301,253,1570,,,,,,
B17E2225,004,13-08-2012,301,253,1570,,,,,,
B17E2225,004,14-08-2012,302,254,1569,,,,,,
B17E2225,004,15-08-2012,303,255,1568,,,,,,
B17E2225,004,16-08-2012,305,257,1566,,,,,,
B17E2225,004,17-08-2012,305,257,1566,,,,,,
B17E2225,004,18-08-2012,306,258,1565,,,,,,
B17E2225,004,19-08-2012,307,259,1564,,,,,,
B17E2225,004,20-08-2012,308,260,1563,,,,,,
B17E2225,004,21-08-2012,309,261,1562,,,,,,
B17E2225,004,22-08-2012,310,262,1561,,,,,,
B17E2225,004,23-08-2012,311,263,1560,,,,,,
B17E2225,004,24-08-2012,311,263,1560,,,,,,
B17E2225,004,25-08-2012,311,263,1560,,,,,,
B17E2225,004,26-08-2012,311,263,1560,,,,,,
B17E2225,004,27-08-2012,311,263,1560,,,,,,
B17E2225,004,28-08-2012,310,262,1561,,,,,,
B17E2225,004,29-08-2012,311,263,1560,,,,,,
B17E2225,004,30-08-2012,311,263,1560,,,,,,
B17E2225,004,31-08-2012,311,263,1560,,,,,,
B17E2225,004,01-09-2012,312,264,1559,,,,,,
B17E2225,004,02-09-2012,312,264,1559,,,,,,
B17E2225,004,03-09-2012,313,265,1558,,,,,,
B17E2225,004,04-09-2012,313,265,1558,,,,,,
B17E2225,004,05-09-2012,314,266,1557,,,,,,
B17E2225,004,06-09-2012,315,267,1556,,,,,,
B17E2225,004,07-09-2012,315,267,1556,,,,,,
B17E2225,004,08-09-2012,315,267,1556,,,,,,
B17E2225,004,09-09-2012,316,268,1555,,,,,,
B17E2225,004,10-09-2012,316,268,1555,,,,,,
B17E2225,004,11-09-2012,317,269,1554,,,,,,
B17E2225,004,12-09-2012,317,269,1554,,,,,,
B17E2225,004,13-09-2012,318,270,1553,,,,,,
B17E2225,004,14-09-2012,318,270,1553,,,,,,
B17E2225,004,15-09-2012,319,271,1552,,,,,,
B17E2225,004,16-09-2012,319,271,1552,,,,,,
B17E2225,004,17-09-2012,319,271,1552,,,,,,
B17E2225,004,18-09-2012,320,272,1551,,,,,,
B17E2225,004,19-09-2012,320,272,1551,,,,,,
B17E2225,004,20-09-2012,321,273,1550,,,,,,
B17E2225,004,21-09-2012,321,273,1550,,,,,,
B17E2225,004,22-09-2012,321,273,1550,,,,,,
B17E2225,004,23-09-2012,322,274,1549,,,,,,
B17E2225,004,24-09-2012,320,272,1551,,,,,,
B17E2225,004,25-09-2012,321,273,1550,,,,,,
B17E2225,004,26-09-2012,321,273,1550,,,,,,
B17E2225,004,27-09-2012,322,274,1549,,,,,,
B17E2225,004,28-09-2012,323,275,1548,,,,,,
B17E2225,004,29-09-2012,323,275,1548,,,,,,
B17E2225,004,30-09-2012,323,275,1548,,,,,,
B17E2225,004,01-10-2012,323,275,1548,,,,,,
B17E2225,004,02-10-2012,323,275,1548,,,,,,
B17E2225,004,03-10-2012,323,275,1548,,,,,,
B17E2225,004,04-10-2012,324,276,1547,,,,,,
B17E2225,004,05-10-2012,323,275,1548,,,,,,
B17E2225,004,06-10-2012,322,274,1549,,,,,,
B17E2225,004,07-10-2012,321,273,1550,,,,,,
B17E2225,004,08-10-2012,320,272,1551,,,,,,
B17E2225,004,09-10-2012,319,271,1552,,,,,,
B17E2225,004,10-10-2012,319,271,1552,,,,,,
B17E2225,004,11-10-2012,319,271,1552,,,,,,
B17E2225,004,12-10-2012,319,271,1552,,,,,,
B17E2225,004,13-10-2012,319,271,1552,,,,,,
B17E2225,004,14-10-2012,317,269,1554,,,,,,
B17E2225,004,15-10-2012,317,269,1554,,,,,,
B17E2225,004,16-10-2012,317,269,1554,,,,,,
B17E2225,004,17-10-2012,317,269,1554,,,,,,
B17E2225,004,18-10-2012,317,269,1554,,,,,,
B17E2225,004,19-10-2012,318,270,1553,,,,,,
B17E2225,004,20-10-2012,318,270,1553,,,,,,
